rms_full,rms_provider,rms_type,display_name,category,track,tf_resource,confidence
ddm.instances,ddm,instances,Instances,Database,tracked,huaweicloud_ddm_instance,manual
ddm.nodes,ddm,nodes,Nodes,Database,tracked,huaweicloud_ddm_instance,manual
deh.dedicatedhosts,deh,dedicatedhosts,DeHs,Computing,tracked,huaweicloud_deh_host,manual
devcloud.package,devcloud,package,Pay-per-use Packages,DevCloud,tracked,,unmapped
devcloud.devcloud_package,devcloud,devcloud_package,Yearly or Monthly Packages,DevCloud,tracked,,unmapped
devcloud.projectman,devcloud,projectman,CodeArts Req,DevCloud,tracked,,unmapped
devcloud.codehub,devcloud,codehub,CodeArts Repo,DevCloud,tracked,,unmapped
devcloud.codecheck,devcloud,codecheck,CodeArts Check,DevCloud,tracked,,unmapped
devcloud.codeci,devcloud,codeci,CodeArts Build,DevCloud,tracked,,unmapped
devcloud.cloudide,devcloud,cloudide,CodeArts IDE Online,DevCloud,tracked,,unmapped
devcloud.releaseman,devcloud,releaseman,CodeArts Artifact,DevCloud,tracked,,unmapped
devcloud.testman,devcloud,testman,CodeArts TestPlan,DevCloud,tracked,,unmapped
devcloud.apitest,devcloud,apitest,APITest,DevCloud,tracked,,unmapped
devcloud.codearts_combo,devcloud,codearts_combo,CodeArts Combo,DevCloud,untracked,,unmapped
devcloud.codearts_extension,devcloud,codearts_extension,CodeArts Resource Extension,DevCloud,untracked,,unmapped
devcloud.codearts_feature,devcloud,codearts_feature,CodeArts Value-added Features,DevCloud,untracked,,unmapped
dli.queues,dli,queues,Queues,EI Enterprise,tracked,huaweicloud_dli_queue,manual
dli.elasticresourcepool,dli,elasticresourcepool,Elastic Resource Pools,EI Enterprise,tracked,huaweicloud_dli_elastic_resource_pool,manual
dlv.workspaces,dlv,workspaces,Workspaces,EI Enterprise,tracked,,unmapped
dlv.instances,dlv,instances,Instances,EI Enterprise,tracked,,unmapped
dms.kafkas,dms,kafkas,Kafka Instances,Application,tracked,huaweicloud_dms_kafka_instance,manual
dms.rabbitmqs,dms,rabbitmqs,RabbitMQ Instances,Application,tracked,huaweicloud_dms_rabbitmq_instance,manual
dms.reliabilitys,dms,reliabilitys,RocketMQ Instances,Application,tracked,huaweicloud_dms_rocketmq_instance,manual
dms.kafka_nodes,dms,kafka_nodes,Kafka Brokers,Application,tracked,huaweicloud_dms_kafka_instance,manual
